knowledge_article_id,description,module,keywords,category_1,category_2,category_3,issue,resolution
400000000,Excess funds,CM,Fund,Application,SAPGUI - Cash Management,Bank,If AO has excess funds whether Bpopa will automatically transfer funds without AO needs to submit funds as now where AO will apply for excess funds through GFMAS.,"If AO has excess funds, automatic action will not occur in the 1GFMAS system.
The process of transferring funds from AO to Ho through a transaction of funds from the Accounting Office (ZUCM206) can be done either by AO or BPOPA."
400000001,PTJ has already had a float,CM,Panjar,Application,Panjar,Special Panjar,Whether the PTJ has a floating float needs the key to entering the Panjar or the HQ uploading from GFMAS to 1GFMAS.,PTJs who had the original float during the GFMAS system did not need to lock in the original float receipt to the 1GFMAS system.The float will be uploaded during the GFMAS migration process to 1GFMAS.
400000002,Provider or supplier ID Panjar,CM,ID Panjar,Application,Master Data,Customer Information,Who will give or supply the Panjar ID.,"The BPOPA will supply the Panjar ID.The process of application can be referred to MPK - CM11.
(The process of creating and the addition of a float of the"
400000003,Powder,CM,Panjar,Application,Panjar,Retail Money Panjar,"Panjar Float - Is there a limit or not for the addition of a float amount?If anything, who will confirm the addition of the amount?For GFMAS, if there is an increase will include a letter of approval from the ministry.","Please refer to MPK-CM 11
The process of creating and the addition of float floats."
400000005,Maximum period for AO check process,AP,Check AO,Application,Payment command management,Report,"How long is the maximum for the user to ""check AO"" for the review process before being sent to 2?","For now, the SLA for the maximum period for users ""Check AO"" is still under discussion with Bpopp."
400000006,Check Report/EFT Post Slip,AP,Check/EFT,Application,Payment command management,Report,Check/EFT Post Slip Post Report - At what stage can the report show?AO or PTJ?,At PTJ level.
400000007,Deposit Refund,AP,Deposit,Application,Payment command management,Journal Vouchers,Is it allowed not to make a full payment of deposits in this process?,"The deposit may be paid part of the total deposit provided that the seizure of the deposit is part of the deposit.However, for the Regular Deposit Refund (Partial), this transaction cannot be made in the Deposit Refund Directive."
400000008,Manual Provide Procedures,AP,Manual check,Application,SAPGUI - Payment Instructions,Check Management,Manual Provide Procedures,"Manual check preparation can only be done in certain circumstances as follows:
1. Scenario A: Check failed by the Accounting Office (AO) due to the defective/non -functioning printer.
2. Scenario B: Payment Instructions 80, but 1GFMAS access in AO has a disruption and the payment run process has not been implemented.
3. Scenario C: 80 Unexpected Payment Instructions, 1GFMAS Access to Responsibility Center (PTJ) /AO suffers from system disruption.
4. Scenario D: 1GFMAS does not work in PTJ and AO.

Refer to MPK -AP 25 - Manual check preparation process
Refer to AP -22104V Training Manual: Payment Process by Checkmanual"
400000009,EFT number,AP,EFT,Application,SAPGUI - Payment Instructions,Check/EFT Payment Process,When will the EFT number be generated?,"EFT number is generated during the ZiAP512 process, which is during the EFT payment approval process."
400000010,Supplier's Master Data,AP,Master Data,Application,Master Data,Supplier Information,Can the supplier's master data be created at 1GFMAS?,"Sure, through the gui sap.However, the process of creating supplier's master data is only given to BPOPA or BA/AO except for Account Group EMP, SUPP and Paye."
400000011,Invoice function without PT (repeated),AP,Invoice without PT,Application,Payment command management,Report,What is the use of invoice without PT (repeat)?,To make it easier for users to use the same group of receipt information to enable payments to be made on a monthly or a period of time.
400000012,Amount in the base data field,AP,Base data,Application,Payment command management,Payment Instructions Without Government Orders,Why does the system don't automatically calculate the basic data?,This is because the basic data concept is that the user needs to lock in all the basic data related to the invoice into the system including the amount information.
400000013,The amount of check received through the mail exceeds the invoice,AR,Mail receipt,Application,Receipt,Mail Reception,The amount of check received through the mail exceeds the invoice.The message error Total RM exceeds the amount of invoice.,"The 1GFMAS system does not allow to lock in the check amount exceeding the invoice amount to ensure that the check received is fully accounted for.

However, during the preparation of the receipt, the excess of the relevant amount can be accounted for as a previous receipt."
400000015,Search Customer Information,AR,Search Customer Information,Application,Master Data,Customer Information,Customer Information: Search using name and no data generated.,The amendment of the sentence on the solution: the name field should use an aster (*) and it depends on how PTJ registers customer information whether capital or otherwise.
400000016,EPF contributions and separate taxable income,HCM,KWSP,Application,SAPGUI - HCM,HCM-Payroll,Why is the EPF contribution and separate taxable income?,"Payment through the payment instruction is isolated to avoid the error of locking the payment for the purpose of contribution to the EPF, SOCSO contributions and tax payments to IRBM.BPTM AP received many complaints from the EPF that the EPF contribution could not be updated to the contributor account because the PTJ Incompatible/ Incomplete Information Information Key Information on the Payment Field for EPF contributions."
400000017,Edit Report (ZRPY043) No IT0267 Data (Additional Off-Cycle Payments),HCM,HCM,Application,SAPGUI - HCM,HCM-Pay Report,Edit Report does not display data changes for IT0267 (Additional Off-Cycle Payments),"Data changes on infotype 0267 (additional off-cycle payments) are not considered in the IGFMAS Edit Report.Recommended after data update on batch through ZRPY068 or Level in PA30 (IT0267), AO needs to generate Query SQ01 (ZHRPY_IT0267 - Additional Off -Cycle Payments) to review the data that has been successfully uploaded/updated."
400000029,Status for public air travel warrant (WPUA),MM,Public Air Travel Warrant (WPUA),Application,Procurement,Public Air Travel Warrant,"Public Air Travel Warrant (WPUA) - After status 80, how to monitor status whether or not you have made a payment.",The payment status of the WPUA can be viewed through the generated report (a detailed report of a complete government order).
400000030,Public Air Travel Warrant Payment (WPUA),MM,Public Air Travel Warrant Payment (WPUA),Application,Procurement,Public Air Travel Warrant,Who will make payments for bulk air warrants?,Payment of bulk accounts will be made by the Accounting Office.
400000031,Invoice Cancellation,MM,Cancel invoice,Application,Payment command management,Payment Instructions with Government Orders,Can an invoice that has passed canceled?,The invoice made by the 2 payment instructions cannot be canceled.
400000032,SST USE (Letter of Acceptance),MM,(Letter of Acceptance) SST,Application,Master Data,Letter of Acceptance,What is the use of SST?,The use of SST within 1GFMAS is as a 'key' for the payment command scenario involving WPK and WJP.
400000033,SST Review (Letter of Acceptance),MM,(Letter of Acceptance) SST,Application,Master Data,Letter of Acceptance,Does the system review for SST more than 4 months or more than 3 times payment?,System does not review for SST more than 4 months or more than 3 times payment
400000034,Maintaining SST (Letter of Acceptance),MM/AP,(Letter of Acceptance) SST,Application,Master Data,Letter of Acceptance,Who keeps SST?,"For 1GFMAS, the system's SST number will be generated auto when the information is locked in the Master Data> Letter of Acceptance by the authorized user at PTJ respectively"
400000035,SST Source (Letter of Acceptance),MM/AP,(Letter of Acceptance) SST,Application,Master Data,Letter of Acceptance,How much is SST resources?,2 sources.From EP and IGFMAS
400000036,AKB MM period,MM,AKB MM,Application,Procurement,Acceptance of Supplies & Services,Is AKB still relevant in the accrual accounting environment?,AKB is still relevant as long as the budget uses cash basis.AKB at MM MM was only for a few days open by BPOPA in January before December the current year.
400000037,GRN Requirements Before the Stop Instruction (SI) process,MM,STOP INSTRUCTION (SI),Application,Procurement,Instructions Reduction Quantity of Supplies,Why does SI NEED GRN,Using the same concept as the EP where some of the receipt of supplies and services have been accepted while avoiding the provider using SI to clear the original quantity of PO.
400000038,The end of the end of the year (PAT),MM,PAT,Application,Procurement,The end of the year,When is the PAT time?,The PAT period is implemented in January of the New Year (as stated in the SPANM PAT).
400000041,Process cancellation,AR,Receipt,Application,Receipt,Journal Voucher of Cancel Collector Statement,"The cancellation process, is the PTJ that canceling the cancellation process the same as PTJ which confirms the 60 status?","For the cancellation process, the PTJ which provides the document must cancel the document."
