ticket_id,helpfulness_rating,comment,timestamp,knowledge_article_id
06092024LQE9EW,5,"The fix was simple and effective, no issues after applying it.",6/9/2024 17:47,400000396
29092024RLOLVT,5,"The fix was simple and effective, no issues after applying it.",29/9/2024 9:35,400000221
09092024K0LXK9,5,Very helpful and timely resolution.,9/9/2024 1:29,400000240
28092024WMH9Y3,5,"I'm satisfied with the support, the solution worked perfectly.",28/9/2024 9:22,400000318
17092024SFUPHD,5,"The fix was simple and effective, no issues after applying it.",17/9/2024 14:07,400000003
260920245C0C93,5,"The fix was simple and effective, no issues after applying it.",26/9/2024 14:17,400000135
01092024SN7QH2,5,The solution provided was quick and effective.,1/9/2024 3:54,400000221
29092024ZMEIO5,5,The solution provided was quick and effective.,29/9/2024 8:47,400000189
09092024PSUNCS,5,"I'm satisfied with the support, the solution worked perfectly.",9/9/2024 10:02,400000059
02092024LHXADQ,5,Very helpful and timely resolution.,2/9/2024 1:57,400000221
04092024FA4QKZ,5,"Resolved the issue efficiently, great work!",4/9/2024 12:37,400000233
28092024SDO2ZE,5,Very helpful and timely resolution.,28/9/2024 6:56,400000120
07092024HW8YQC,5,The solution provided was quick and effective.,7/9/2024 13:24,400000048
17092024K0TI1L,5,"The fix was simple and effective, no issues after applying it.",17/9/2024 8:29,400000166
18092024TF3DZ0,5,"I'm satisfied with the support, the solution worked perfectly.",18/9/2024 22:05,400000127
27092024QI9GTY,5,The solution provided was quick and effective.,27/9/2024 8:04,400000202
12092024JN532E,5,The solution provided was quick and effective.,12/9/2024 21:21,400000037
14092024Y3CZT3,5,Very helpful and timely resolution.,14/9/2024 1:17,400000122
20092024HD1GI9,5,"I'm satisfied with the support, the solution worked perfectly.",20/9/2024 1:42,400000227
13092024BMCTCJ,5,The solution provided was quick and effective.,13/9/2024 15:52,400000016
17092024NIXSTY,5,Very helpful and timely resolution.,17/9/2024 0:12,400000360
1509202436AE6A,5,Very helpful and timely resolution.,15/9/2024 1:40,400000002
21092024NA9K2N,5,"I'm satisfied with the support, the solution worked perfectly.",21/9/2024 6:44,400000191
10092024MAMB4G,5,Very helpful and timely resolution.,10/9/2024 15:34,400000219
28092024OFCT01,5,"I'm satisfied with the support, the solution worked perfectly.",28/9/2024 11:17,400000211
21092024VD4PWK,5,Very helpful and timely resolution.,21/9/2024 18:17,400000402
02092024D3DIUQ,5,"I'm satisfied with the support, the solution worked perfectly.",2/9/2024 7:35,400000210
16092024VOY7PU,5,Very helpful and timely resolution.,16/9/2024 8:47,400000192
120920241SM949,5,"The fix was simple and effective, no issues after applying it.",12/9/2024 8:31,400000181
15092024GZBWG9,5,The solution provided was quick and effective.,15/9/2024 18:16,400000091
070920240Z8WML,5,Very helpful and timely resolution.,7/9/2024 10:54,400000146
13092024WI541N,5,"Resolved the issue efficiently, great work!",13/9/2024 1:25,400000132
08092024GI3HLL,5,The solution provided was quick and effective.,8/9/2024 4:51,400000133
02092024HRF70H,5,The solution provided was quick and effective.,2/9/2024 10:17,400000203
11092024686ECQ,5,The solution provided was quick and effective.,11/9/2024 21:35,400000310
18092024XPZQ7U,5,Very helpful and timely resolution.,18/9/2024 11:15,400000390
13092024QQZ6MV,5,"Resolved the issue efficiently, great work!",13/9/2024 13:26,400000133
27092024KJTYEB,5,"The fix was simple and effective, no issues after applying it.",27/9/2024 3:26,400000360
06092024W3ZPQZ,5,"I'm satisfied with the support, the solution worked perfectly.",6/9/2024 0:25,400000168
24092024RH86DP,5,The solution provided was quick and effective.,24/9/2024 7:01,400000199
03092024KWXOY7,5,The solution provided was quick and effective.,3/9/2024 4:58,400000363
120920248VEICM,5,Very helpful and timely resolution.,12/9/2024 14:21,400000160
14092024CO4WX2,5,"The fix was simple and effective, no issues after applying it.",14/9/2024 23:19,400000375
17092024F058FL,5,Very helpful and timely resolution.,17/9/2024 2:25,400000161
15092024GBBJO2,5,"I'm satisfied with the support, the solution worked perfectly.",15/9/2024 18:33,400000130
28092024RER4PZ,5,The solution provided was quick and effective.,28/9/2024 2:21,400000395
030920248EGACK,5,"I'm satisfied with the support, the solution worked perfectly.",3/9/2024 2:04,400000245
06092024YY0GY9,5,"I'm satisfied with the support, the solution worked perfectly.",6/9/2024 13:32,400000066
03092024J1K3SD,5,"Resolved the issue efficiently, great work!",3/9/2024 17:01,400000171
06092024CKRTK9,5,"Resolved the issue efficiently, great work!",6/9/2024 0:09,400000200
10092024DXQTQD,4,The solution provided was quick and effective.,10/9/2024 15:07,400000397
21092024JKCAJG,4,"Resolved the issue efficiently, great work!",21/9/2024 17:49,400000371
290920244EU2R0,4,"I'm satisfied with the support, the solution worked perfectly.",29/9/2024 22:53,400000066
21092024NSTNJE,4,"Resolved the issue efficiently, great work!",21/9/2024 5:49,400000029
200920245UHXW4,4,"The fix was simple and effective, no issues after applying it.",20/9/2024 23:24,400000010
230920243NQG5N,4,The solution provided was quick and effective.,23/9/2024 12:45,400000386
10092024U33EFM,4,"Resolved the issue efficiently, great work!",10/9/2024 6:42,400000219
10092024S9DPG6,4,"The fix was simple and effective, no issues after applying it.",10/9/2024 11:22,400000015
15092024O2ZRL1,4,"I'm satisfied with the support, the solution worked perfectly.",15/9/2024 19:34,400000220
2309202440E0LL,4,"Resolved the issue efficiently, great work!",23/9/2024 0:22,400000364
18092024LKSOE8,4,"The fix was simple and effective, no issues after applying it.",18/9/2024 18:59,400000174
29092024CA77MA,4,Very helpful and timely resolution.,29/9/2024 21:33,400000228
08092024V8Z5WW,4,"I'm satisfied with the support, the solution worked perfectly.",8/9/2024 11:31,400000051
22092024MEM58Y,4,"Resolved the issue efficiently, great work!",22/9/2024 17:32,400000236
14092024DDI4NU,4,Very helpful and timely resolution.,14/9/2024 12:03,400000269
300920243A0WJL,4,The solution provided was quick and effective.,30/9/2024 16:43,400000393
29092024CVT1A8,4,"I'm satisfied with the support, the solution worked perfectly.",29/9/2024 6:05,400000197
30092024OABFJG,4,"I'm satisfied with the support, the solution worked perfectly.",30/9/2024 13:41,400000140
1409202458Z57T,4,"I'm satisfied with the support, the solution worked perfectly.",14/9/2024 10:37,400000233
13092024SXQ7ZT,4,"I'm satisfied with the support, the solution worked perfectly.",13/9/2024 9:28,400000364
08092024ZS4HH8,3,"Neutral experience, the issue was resolved eventually.",8/9/2024 17:47,400000146
19092024G3J1L2,3,The resolution was somewhat helpful but needed additional steps.,19/9/2024 11:44,400000406
20092024WZSISZ,3,"It addressed part of the problem, but not entirely.",20/9/2024 17:00,400000223
140920246EJUNA,3,"The solution worked, but took a bit of time to implement.",14/9/2024 19:35,400000222
09092024EXCQNP,3,"It addressed part of the problem, but not entirely.",9/9/2024 14:49,400000398
08092024C7TGWC,3,The resolution was somewhat helpful but needed additional steps.,8/9/2024 2:39,400000385
16092024EJE3FH,3,The resolution was somewhat helpful but needed additional steps.,16/9/2024 15:34,400000165
15092024A7BOXW,3,The resolution was somewhat helpful but needed additional steps.,15/9/2024 23:49,400000201
14092024FSZDQ2,3,The resolution was somewhat helpful but needed additional steps.,14/9/2024 13:38,400000029
29092024723QG0,3,"It addressed part of the problem, but not entirely.",29/9/2024 4:36,400000236
24092024UBWR9U,3,"The fix was okay, but could be more efficient.",24/9/2024 18:32,400000191
290920247NJK6O,3,"It addressed part of the problem, but not entirely.",29/9/2024 6:47,400000219
09092024VT4FSI,3,"The fix was okay, but could be more efficient.",9/9/2024 5:55,400000168
210920247KDWMW,3,"It addressed part of the problem, but not entirely.",21/9/2024 23:02,400000037
18092024XMKWS7,3,"The fix was okay, but could be more efficient.",18/9/2024 0:44,400000406
040920243CHSY9,2,Followed the steps but the problem persists.,4/9/2024 3:21,400000129
110920246YY8XD,2,The provided solution was not effective in my case.,11/9/2024 19:12,400000241
24092024R8R7SO,2,The solution did not resolve my issue.,24/9/2024 1:00,400000218
030920249QMVQ9,2,The solution did not resolve my issue.,3/9/2024 17:51,400000359
08092024IGOOOU,2,The solution did not resolve my issue.,8/9/2024 6:02,400000225
170920245L8FHK,2,The provided solution was not effective in my case.,17/9/2024 19:32,400000126
270920246A9GNS,2,I'm still facing the issue after applying the suggested fix.,27/9/2024 12:33,400000148
14092024ON84XD,2,The solution did not resolve my issue.,14/9/2024 2:47,400000350
11092024Z5G4DW,2,Followed the steps but the problem persists.,11/9/2024 5:30,400000142
27092024I00AX2,2,Followed the steps but the problem persists.,27/9/2024 7:15,400000017
280920241MTW4C,1,The solution did not resolve my issue.,28/9/2024 21:09,400000188
05092024B390MB,1,The solution did not resolve my issue.,5/9/2024 3:08,400000359
180920242GRVKS,1,Followed the steps but the problem persists.,18/9/2024 1:39,400000218
20092024LAUQNR,1,Followed the steps but the problem persists.,20/9/2024 23:34,400000382
09092024DVKQDF,1,Followed the steps but the problem persists.,9/9/2024 1:58,400000181
